,Label 0,Label 1,Label 2,Label 3,Label 4,Label 5,Label 6,Label 7,Label 8,Label 9,Max,Totals,Coverage,Purity
Cluster 1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,nan
Cluster 2,7.0000,5.0000,3.0000,30.0000,2.0000,10.0000,7.0000,2.0000,16.0000,4.0000,30.0000,86.0000,0.0086,0.3488
Cluster 3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,nan
Cluster 4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,nan
Cluster 5,0.0000,2.0000,9.0000,69.0000,5.0000,39.0000,10.0000,4.0000,25.0000,15.0000,69.0000,178.0000,0.0178,0.3876
Cluster 6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,nan
Cluster 7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,nan
Cluster 8,9.0000,10.0000,5.0000,36.0000,4.0000,9.0000,8.0000,1.0000,17.0000,3.0000,36.0000,102.0000,0.0102,0.3529
Cluster 9,6.0000,6.0000,7.0000,70.0000,10.0000,41.0000,13.0000,4.0000,27.0000,14.0000,70.0000,198.0000,0.0198,0.3535
Cluster 10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,nan
Cluster 11,6.0000,39.0000,4.0000,12.0000,5.0000,15.0000,9.0000,0.0000,22.0000,0.0000,39.0000,112.0000,0.0112,0.3482
Cluster 12,5.0000,15.0000,6.0000,46.0000,3.0000,8.0000,17.0000,2.0000,13.0000,2.0000,46.0000,117.0000,0.0117,0.3932
Cluster 13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,nan
Cluster 14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,nan
Cluster 15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,nan
Cluster 16,7.0000,30.0000,9.0000,20.0000,3.0000,23.0000,16.0000,0.0000,25.0000,2.0000,30.0000,135.0000,0.0135,0.2222
